공고,회사명,지역,링크
"카사벨라 레스토랑 평일 마감알바 구해요 시급 10,000",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=812521&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=811977&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
"카사벨라 레스토랑 평일,주말 알바구해요",카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=811453&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
카사벨라 레스토랑 정직원  구합니다,카사벨라레스토랑,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=811451&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=811317&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=811089&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=810129&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
모산 오마카세 레스토랑 홀서빙  구인여사님환영,모산,삼문율하,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=809348&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
믹스아시아 레스토랑 서빙 여사님  아르바이트 구급,믹스아시아,삼문율하,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=809345&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
패밀리 레스토랑 원투원 주방직원 및 아르바이트 모,원투원,장유신도시,https://www.jangyu.net/board/bbs/board.php?bo_table=inc_guin&wr_id=809307&sca=&sfl=wr_subject&stx=%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91&sop=and&page=1&campus_kind=
